basin_key,reference_source_key,test_source_key,MLE,RMSE
0,0,1,0.997056,11.8197
0,0,2,1,0
0,0,3,1,0
0,0,4,0.575892,138.139
0,0,5,1,0
0,0,6,0.304088,59.8112
0,0,7,0.722629,90.8386
1,8,9,0.999789,3.12038
1,8,10,0.999075,5.54182
1,8,11,0.997031,6.01335
1,8,12,0.999683,6.13511
1,8,13,0.999451,7.00462
1,8,14,0.999626,2.1591
1,8,15,0.995469,8.49527
2,16,17,0.999883,2.40982
2,16,18,0.99494,8.50688
2,16,19,0.997969,6.64219
2,16,20,0.991164,18.8948
2,16,21,0.993381,9.33678
2,16,22,0.990274,9.33502
2,16,23,0.892689,17.4803
2,16,24,0.697768,36.2397
2,16,25,0.981179,68.8791
2,16,26,0.995259,16.751
2,16,27,0.995725,29.106
2,16,28,0.910785,33.7904
2,16,29,0.987254,13.5094
2,16,30,0.916284,22.0274
2,16,31,0.999009,6.2711
3,32,33,0.0881666,77.5368
3,32,34,0.845682,32.066
3,32,35,0.280995,144.838
3,32,36,0.99389,7.04452
3,32,37,0.997663,8.70855
3,32,38,0.996455,14.5048
3,32,39,0.997416,11.4383
3,32,40,0.870577,51.1534
3,32,41,0.86946,43.935
3,32,42,0.563407,71.0715
3,32,43,0.870042,140.734
4,44,45,0.994375,14.843
4,44,46,0.83739,42.2677
4,44,47,0.314487,57.0905
4,44,48,1,0
4,44,49,1,0
4,44,50,0.995144,13.7945
4,44,51,3.64547e-08,277.488
4,44,52,0.000426648,400.554
4,44,53,0.145983,129.416
4,44,54,0.0205493,198.755
4,44,55,0.0212685,226.047
4,44,56,0.860348,62.2701
4,44,57,0.0052853,145.197
4,44,58,0.67575,126.656
5,59,60,0.997849,4.46701
5,59,61,0.967088,13.4795
5,59,62,0.987531,10.786
5,59,63,0.984608,24.3962
5,59,64,0.934596,17.0414
5,59,65,0.953214,17.4169
5,59,66,0.96693,28.1941
5,59,67,0.992776,21.191
5,59,68,0.992848,11.7599
5,59,69,0.991356,8.33915
5,59,70,0.999295,4.2013
5,59,71,0.880885,18.9284
5,59,72,0.893892,43.3454
5,59,73,0.980868,42.7452
6,74,75,0.996271,12.2015
6,74,76,0.969441,16.4401
6,74,77,0.998784,4.83137
6,74,78,0.835576,37.4337
6,74,79,0.977055,18.7612
6,74,80,0.991805,18.9625
6,74,81,0.84697,30.5347
6,74,82,0.95209,14.7857
6,74,83,0.952951,25.1624
6,74,84,0.999457,6.80186
6,74,85,0.847626,28.6698
6,74,86,0.988616,16.6866
6,74,87,0.998712,13.8261
7,88,89,0.936538,16.8051
7,88,90,0.999023,4.81985
7,88,91,0.995657,7.10232
7,88,92,0.997601,19.8011
7,88,93,0.984732,13.7769
7,88,94,0.999838,5.97531
7,88,95,0.996618,15.5998
7,88,96,0.999744,6.26784
7,88,97,0.999436,10.9594
7,88,98,0.986463,21.6113
7,88,99,0.992038,6.88823
7,88,100,0.999557,7.23953
8,101,102,1,0
8,101,103,1,0
8,101,104,0.994823,6.94413
8,101,105,0.959365,14.4399
8,101,106,0.997787,12.6634
8,101,107,0.959721,14.3087
8,101,108,0.7643,53.1875
8,101,109,0.927771,46.3573
8,101,110,0.974475,25.1778
8,101,111,0.929884,44.7523
8,101,112,0.984179,27.7588
8,101,113,0.89927,19.9492
8,101,114,0.981736,14.2832
8,101,115,0.995563,15.917
8,101,116,0.995899,5.31516
8,101,117,0.999554,3.02155
9,118,119,0.95656,20.8214
9,118,120,0.849946,13.3968
9,118,121,0.874925,31.8933
9,118,122,0.977312,19.5299
9,118,123,0.99654,22.8574
9,118,124,0.989775,18.8648
9,118,125,0.971299,20.9557
9,118,126,0.989736,12.6809
9,118,127,0.978026,24.3151
9,118,128,0.955215,15.2198
9,118,129,0.973275,16.7325
9,118,130,0.998177,7.38343
9,118,131,0.97603,10.5485
9,118,132,0.998991,5.2063
9,118,133,0.994998,14.1521
9,118,134,0.983044,15.854
9,118,135,0.996036,6.0592
10,136,137,0.990013,7.09018
10,136,138,0.972196,15.4513
10,136,139,0.870851,19.8908
10,136,140,0.982457,14.2765
10,136,141,0.991899,10.6027
10,136,142,0.995118,15.466
10,136,143,0.999466,6.06562
10,136,144,0.980048,16.7361
10,136,145,0.975056,14.5517
10,136,146,0.985893,29.2258
10,136,147,0.99785,8.97246
11,148,149,0.994488,6.33917
11,148,150,0.999842,2.94791
11,148,151,0.99914,4.77514
11,148,152,0.992343,12.1821
11,148,153,0.990414,15.3738
11,148,154,0.943337,17.5528
11,148,155,0.999516,6.94642
11,148,156,0.938696,13.5128
11,148,157,0.977493,16.8866
11,148,158,0.88318,24.1038
11,148,159,0.958951,17.8501
11,148,160,0.9903,15.6397
11,148,161,0.995583,17.7376
11,148,162,0.982312,24.9947
11,148,163,0.995687,9.3127
11,148,164,0.960817,16.8006
11,148,165,0.9989,4.93532
11,148,166,0.928813,40.4849
11,148,167,0.990231,17.2847
11,148,168,0.961102,16.6145
11,148,169,0.990855,16.5098
12,170,171,0.999316,4.98873
12,170,172,0.573685,46.4345
12,170,173,0.849266,66.9887
12,170,174,0.930011,29.3564
12,170,175,0.999397,3.81
12,170,176,0.984052,21.4971
12,170,177,0.938478,50.4671
12,170,178,0.93664,29.2851
12,170,179,0.975047,21.8431
12,170,180,0.817417,43.0252
12,170,181,0.99342,32.9003
12,170,182,0.996991,15.4175
12,170,183,0.955904,31.9126
12,170,184,0.992864,24.3834
12,170,185,0.999304,8.71931
12,170,186,0.99654,13.327
