basin_key,reference_source_key,test_source_key,MLE,RMSE
0,0,1,0.997266,11.3351
0,0,2,1,0
0,0,3,1,0
0,0,4,0.531689,146.63
0,0,5,0.00319948,131.122
0,0,6,0.00824875,132.547
0,0,7,0.95979,32.8748
1,8,9,0.999717,3.6342
1,8,10,0.99669,10.5175
1,8,11,0.994216,7.15438
1,8,12,0.999367,9.24248
1,8,13,0.99891,9.35136
1,8,14,0.967095,21.4891
1,8,15,0.92114,39.0571
2,16,17,0.999919,2.03196
2,16,18,0.997658,5.85101
2,16,19,0.999133,4.1051
2,16,20,0.993908,15.6936
2,16,21,0.944184,26.6872
2,16,22,0.891481,34.1388
2,16,23,0.538534,34.3608
2,16,24,0.980828,8.61721
2,16,25,0.999975,1.87833
2,16,26,0.977774,40.0683
2,16,27,0.999593,8.27767
2,16,28,0.892844,33.0594
2,16,29,0.988218,14.9028
2,16,30,0.970694,16.2119
2,16,31,0.991687,19.7962
3,32,33,0.236159,58.3636
3,32,34,0.348391,60.0421
3,32,35,0.590585,95.5176
3,32,36,0.803192,37.3356
3,32,37,0.869748,74.3779
3,32,38,0.99992,2.11315
3,32,39,0.999522,4.56506
3,32,40,0.762949,73.924
3,32,41,0.629547,84.4906
3,32,42,0.194775,123.881
3,32,43,0.763744,195.841
4,44,45,0.993959,15.3555
4,44,46,0.590393,73.1015
4,44,47,0.591348,35.3917
4,44,48,0.0784785,49.0275
4,44,49,1,0
4,44,50,0.989174,22.4778
4,44,51,0.393332,69.4911
4,44,52,0.795543,67.1393
4,44,53,0.912782,23.8139
4,44,54,0.542088,82.6743
4,44,55,0.721084,70.0872
4,44,56,0.997216,8.29293
4,44,57,0.984742,9.03602
4,44,58,0.996369,12.4656
5,59,60,0.97187,14.7597
5,59,61,0.878671,25.3947
5,59,62,0.89198,37.7677
5,59,63,0.941562,48.557
5,59,64,0.843024,20.3427
5,59,65,0.877558,33.2218
5,59,66,0.988258,13.1706
5,59,67,0.998313,8.6521
5,59,68,0.962799,29.0898
5,59,69,0.787206,49.692
5,59,70,0.992618,16.5306
5,59,71,0.538922,45.5775
5,59,72,0.730169,76.1261
5,59,73,0.93681,78.7054
6,74,75,0.98014,27.0354
6,74,76,0.731996,85.2091
6,74,77,0.953311,34.3921
6,74,78,0.582203,60.8937
6,74,79,0.942487,32.9557
6,74,80,0.996204,16.1065
6,74,81,0.531739,66.1508
6,74,82,0.0113522,126.773
6,74,83,0.986412,17.3348
6,74,84,0.999057,6.8833
6,74,85,0.773668,49.1637
6,74,86,0.529994,148.839
6,74,87,0.985804,46.8198
7,88,89,0.952444,14.3682
7,88,90,0.995608,10.3321
7,88,91,0.992043,8.29558
7,88,92,0.997502,20.2007
7,88,93,0.928226,29.1452
7,88,94,0.999985,1.88464
7,88,95,0.994985,19.1159
7,88,96,0.999497,8.42394
7,88,97,0.999774,6.74899
7,88,98,0.961492,35.5394
7,88,99,0.843787,35.2423
7,88,100,0.969436,71.3046
8,101,102,1,0
8,101,103,0.0630037,87.6403
8,101,104,0.988634,9.02237
8,101,105,0.80892,35.6964
8,101,106,0.997282,13.7453
8,101,107,0.702984,44.4674
8,101,108,0.449013,90.6127
8,101,109,0.852714,66.3892
8,101,110,0.903868,48.1177
8,101,111,0.849323,65.9519
8,101,112,0.968305,38.5225
8,101,113,0.79598,29.3524
8,101,114,0.914396,33.4145
8,101,115,0.999811,3.13691
8,101,116,0.991195,13.0972
8,101,117,0.984271,17.7595
9,118,119,0.890601,32.3455
9,118,120,0.689274,22.2242
9,118,121,0.868414,30.2562
9,118,122,0.97798,17.7313
9,118,123,0.981697,53.2887
9,118,124,0.97982,26.4202
9,118,125,0.972086,19.0725
9,118,126,0.966308,24.4542
9,118,127,0.980549,22.3924
9,118,128,0.605867,46.8541
9,118,129,0.934323,39.1786
9,118,130,0.991956,18.2576
9,118,131,0.686086,40.4726
9,118,132,0.999148,8.49131
9,118,133,0.996264,12.387
9,118,134,0.962841,18.8051
9,118,135,0.916259,35.845
10,136,137,0.971236,12.6363
10,136,138,0.971316,15.9758
10,136,139,0.839232,22.2609
10,136,140,0.994777,7.62503
10,136,141,0.989935,10.3032
10,136,142,0.999843,2.41315
10,136,143,0.999715,4.16421
10,136,144,0.871396,51.8244
10,136,145,0.812401,52.0225
10,136,146,0.957244,50.9643
10,136,147,0.95269,45.458
11,148,149,0.984314,11.1445
11,148,150,0.999585,4.50626
11,148,151,0.997009,9.40064
11,148,152,0.991587,10.0091
11,148,153,0.992617,11.8413
11,148,154,0.730743,41.8733
11,148,155,0.998511,13.1584
11,148,156,0.377938,55.0577
11,148,157,0.973627,19.2224
11,148,158,0.351212,66.7381
11,148,159,0.873564,33.1339
11,148,160,0.706814,98.0921
11,148,161,0.830214,117.223
11,148,162,0.938908,48.0231
11,148,163,0.797529,80.6313
11,148,164,0.602143,65.3205
11,148,165,0.80078,94.8305
11,148,166,0.632351,98.6157
11,148,167,0.881971,67.7482
11,148,168,0.544818,67.4634
11,148,169,0.764881,94.3617
12,170,171,0.999196,5.58937
12,170,172,0.594705,44.161
12,170,173,0.855946,64.6577
12,170,174,0.86158,42.705
12,170,175,0.998818,5.8285
12,170,176,0.959316,34.0174
12,170,177,0.896541,64.5514
12,170,178,0.809742,53.3306
12,170,179,0.911373,43.9331
12,170,180,0.554907,75.71
12,170,181,0.97527,64.3596
12,170,182,0.989992,28.3447
12,170,183,0.851144,61.808
12,170,184,0.98082,38.7608
12,170,185,0.999592,5.50342
12,170,186,0.948892,57.045
