basin_key,reference_source_key,test_source_key,MLE,RMSE
0,0,1,0.997131,11.6528
0,0,2,1,0
0,0,3,1,0
0,0,4,0.559368,141.413
0,0,5,0.0318743,98.5737
0,0,6,0.124059,82.7994
0,0,7,0.823656,70.7153
1,8,9,0.999755,3.30028
1,8,10,0.998231,7.40547
1,8,11,0.999018,3.12338
1,8,12,0.999935,2.48781
1,8,13,0.999189,8.4354
1,8,14,0.99494,8.43287
1,8,15,0.965285,23.6154
2,16,17,0.999906,2.05883
2,16,18,0.995867,7.60642
2,16,19,0.998503,5.49583
2,16,20,0.992241,17.6914
2,16,21,0.984211,14.1309
2,16,22,0.965563,18.2557
2,16,23,0.986696,8.36896
2,16,24,0.849706,24.7656
2,16,25,0.989936,50.2691
2,16,26,0.996805,13.0877
2,16,27,0.998752,15.2544
2,16,28,0.994908,7.81063
2,16,29,0.993909,9.62489
2,16,30,0.984539,9.98733
2,16,31,0.996845,11.8951
3,32,33,0.12166,71.7163
3,32,34,0.946463,16.3553
3,32,35,0.372031,128.788
3,32,36,0.977629,9.9643
3,32,37,0.986263,21.4824
3,32,38,0.998594,8.51796
3,32,39,0.999465,5.0598
3,32,40,0.825742,60.49
3,32,41,0.773772,61.6561
3,32,42,0.391455,93.8834
3,32,43,0.826594,164.652
4,44,45,0.99425,14.9906
4,44,46,0.770937,52.0263
4,44,47,0.393293,49.7486
4,44,48,1,0
4,44,49,1,0
4,44,50,0.995314,13.5973
4,44,51,4.97176e-05,211.503
4,44,52,0.0118698,301.71
4,44,53,0.668753,61.0592
4,44,54,0.113926,151.893
4,44,55,0.161709,159.709
4,44,56,0.943878,38.4447
4,44,57,0.196021,80.6913
4,44,58,0.894857,66.8883
5,59,60,0.997748,4.13368
5,59,61,0.944727,17.2382
5,59,62,0.965425,19.8576
5,59,63,0.973505,32.2608
5,59,64,0.958996,13.4555
5,59,65,0.981448,10.7431
5,59,66,0.98946,14.8518
5,59,67,0.997742,10.997
5,59,68,0.992858,11.3815
5,59,69,0.954145,22.4289
5,59,70,0.998595,7.09675
5,59,71,0.98135,7.07747
5,59,72,0.994414,8.95827
5,59,73,0.999555,5.62762
6,74,75,0.991829,17.7538
6,74,76,0.913417,31.21
6,74,77,0.992901,13.505
6,74,78,0.988968,9.03314
6,74,79,0.999196,3.57673
6,74,80,0.997632,10.291
6,74,81,0.989364,9.13593
6,74,82,0.442888,58.0102
6,74,83,0.991829,10.2627
6,74,84,0.999801,3.87911
6,74,85,0.956796,19.0789
6,74,86,0.904527,58.9675
6,74,87,0.995213,27.0963
7,88,89,0.942866,15.8932
7,88,90,0.99799,6.87704
7,88,91,0.995324,6.9364
7,88,92,0.997672,19.4925
7,88,93,0.972213,18.6685
7,88,94,0.999917,4.21794
7,88,95,0.99604,16.9461
7,88,96,0.999786,5.28398
7,88,97,0.99984,5.00764
7,88,98,0.975481,28.5693
7,88,99,0.958534,17.5566
7,88,100,0.991066,38.2378
8,101,102,1,0
8,101,103,1,0
8,101,104,0.997933,4.43727
8,101,105,0.92316,21.3781
8,101,106,0.997554,12.7617
8,101,107,0.882318,26.0768
8,101,108,0.635495,69.2186
8,101,109,0.901738,54.1215
8,101,110,0.95174,34.3975
8,101,111,0.89964,53.7443
8,101,112,0.978199,32.4917
8,101,113,0.98436,7.59775
8,101,114,0.962936,20.4241
8,101,115,0.997236,11.1668
8,101,116,0.998726,4.75781
8,101,117,0.995628,9.3123
9,118,119,0.937434,24.8133
9,118,120,0.795067,16.3249
9,118,121,0.881865,30.5377
9,118,122,0.982967,15.1603
9,118,123,0.991687,35.5326
9,118,124,0.985733,22.0037
9,118,125,0.981502,14.6696
9,118,126,0.982056,17.5759
9,118,127,0.9821,22.0465
9,118,128,0.865371,26.7297
9,118,129,0.957874,21.7888
9,118,130,0.996559,12.1903
9,118,131,0.932839,16.719
9,118,132,0.999768,4.56544
9,118,133,0.997623,9.16855
9,118,134,0.993793,9.48714
9,118,135,0.986286,13.6956
10,136,137,0.985341,8.56172
10,136,138,0.972389,15.3919
10,136,139,0.86247,20.6718
10,136,140,0.988568,11.5509
10,136,141,0.992988,9.2271
10,136,142,0.997451,10.887
10,136,143,0.999615,5.16257
10,136,144,0.959632,27.2839
10,136,145,0.960635,20.6127
10,136,146,0.974029,39.7989
10,136,147,0.990564,20.0203
11,148,149,0.992531,7.2493
11,148,150,0.999768,3.67622
11,148,151,0.999452,3.7312
11,148,152,0.997144,6.97277
11,148,153,0.995722,9.42902
11,148,154,0.898473,20.5828
11,148,155,0.99912,10.1023
11,148,156,0.885625,21.1929
11,148,157,0.998625,4.14727
11,148,158,0.724296,39.1504
11,148,159,0.995364,5.64074
11,148,160,0.930692,44.4162
11,148,161,0.956866,56.9664
11,148,162,0.999222,4.89285
11,148,163,0.956266,35.0031
11,148,164,0.914872,27.5888
11,148,165,0.967969,36.3013
11,148,166,0.828563,64.1145
11,148,167,0.962522,37.4509
11,148,168,0.830242,37.4874
11,148,169,0.931079,48.1424
12,170,171,0.999283,5.1773
12,170,172,0.578865,45.8042
12,170,173,0.850329,66.5121
12,170,174,0.910638,33.6927
12,170,175,0.999729,2.47652
12,170,176,0.976253,26.2381
12,170,177,0.923564,55.994
12,170,178,0.894337,38.5173
12,170,179,0.953087,30.7241
12,170,180,0.725723,55.1025
12,170,181,0.988878,43.0123
12,170,182,0.994517,21.0277
12,170,183,0.91804,44.6792
12,170,184,0.988165,31.0351
12,170,185,0.999711,4.87046
12,170,186,0.979733,34.7871
