basin_key,reference_source_key,test_source_key,MLE,RMSE
0,0,1,0.996846,12.2856
0,0,2,1,0
0,0,3,1,0
0,0,4,0.642719,124.205
0,0,5,1,0
0,0,6,1,0
0,0,7,0.323657,164.665
1,8,9,0.999865,2.5118
1,8,10,0.999776,2.55324
1,8,11,0.976647,17.5874
1,8,12,0.995932,23.9582
1,8,13,0.999954,1.77897
1,8,14,0.95181,28.6119
1,8,15,0.665459,88.2925
2,16,17,0.99971,3.63612
2,16,18,0.991668,11.1494
2,16,19,0.995344,10.6478
2,16,20,0.987254,22.7681
2,16,21,0.987203,12.7042
2,16,22,0.952272,26.6572
2,16,23,0.273742,59.402
2,16,24,0.212204,76.5667
2,16,25,0.91183,151.826
2,16,26,0.89034,94.8041
2,16,27,0.959011,91.133
2,16,28,0.173107,146.754
2,16,29,0.806358,51.5905
2,16,30,0.27129,88.7413
2,16,31,0.983716,25.9226
3,32,33,0.0371522,91.6892
3,32,34,0.0494029,127.677
3,32,35,0.0964982,192.39
3,32,36,0.63355,60.0045
3,32,37,0.745862,110.883
3,32,38,0.974824,41.792
3,32,39,0.966605,41.5686
3,32,40,0.981454,22.1951
3,32,41,0.83216,47.2491
3,32,42,0.525925,52.4031
3,32,43,0.990184,35.9137
4,44,45,0.994771,14.2833
4,44,46,0.934168,22.0853
4,44,47,0.157026,75.6531
4,44,48,1,0
4,44,49,1,0
4,44,50,0.976502,31.675
4,44,51,1,0
4,44,52,1,0
4,44,53,1.25638e-06,366.285
4,44,54,1.47172e-06,364.665
4,44,55,2.31134e-07,451.112
4,44,56,0.251337,189.76
4,44,57,1.02849e-13,374.376
4,44,58,0.0177019,403.11
5,59,60,0.95799,20.107
5,59,61,0.997318,3.85891
5,59,62,0.978351,17.7384
5,59,63,0.999847,2.01188
5,59,64,0.694877,40.857
5,59,65,0.645273,50.8771
5,59,66,0.824147,66.9995
5,59,67,0.972323,74.7594
5,59,68,0.899823,40.9882
5,59,69,0.785283,49.2597
5,59,70,0.971726,33.1211
5,59,71,0.197751,73.4858
5,59,72,0.375172,132.419
5,59,73,0.828747,133.449
6,74,75,0.997534,8.1097
6,74,76,1,0
6,74,77,0.933639,37.9844
6,74,78,1,0
6,74,79,0.697536,80.0069
6,74,80,0.91269,75.1188
6,74,81,0.0472637,151.592
6,74,82,1,0
6,74,83,0.480536,110.388
6,74,84,0.984342,36.2922
6,74,85,0.074203,121.724
6,74,86,0.274915,210.07
6,74,87,0.985293,45.1229
7,88,89,0.913735,19.8399
7,88,90,0.999371,3.43215
7,88,91,0.992827,9.49308
7,88,92,0.997074,21.9301
7,88,93,0.994457,7.57329
7,88,94,0.999189,13.5379
7,88,95,0.998335,9.96146
7,88,96,0.999724,7.03292
7,88,97,0.997123,26.2733
7,88,98,0.989802,17.0553
7,88,99,0.735128,49.3373
7,88,100,0.95068,91.5641
8,101,102,1,0
8,101,103,1,0
8,101,104,0.95591,23.0368
8,101,105,0.970382,13.0098
8,101,106,0.998223,11.3106
8,101,107,0.91449,25.7941
8,101,108,0.927754,25.1313
8,101,109,0.98872,17.7716
8,101,110,0.965802,22.5114
8,101,111,0.977902,20.745
8,101,112,0.997078,10.1811
8,101,113,0.224056,78.8447
8,101,114,0.950207,27.6131
8,101,115,0.976813,39.3312
8,101,116,0.88749,46.4311
8,101,117,0.891309,45.9036
9,118,119,0.989334,9.2241
9,118,120,0.960364,6.71789
9,118,121,0.784379,39.7983
9,118,122,0.904073,41.4546
9,118,123,0.997973,16.9626
9,118,124,0.998565,6.59125
9,118,125,0.788311,58.9847
9,118,126,0.982764,19.3029
9,118,127,0.945786,36.7362
9,118,128,0.845708,32.721
9,118,129,0.948322,28.553
9,118,130,0.989434,19.3614
9,118,131,0.528316,58.9826
9,118,132,0.988832,29.0421
9,118,133,0.95636,43.7645
9,118,134,0.802211,59.3948
9,118,135,0.70594,73.9565
10,136,137,0.99572,5.20061
10,136,138,0.969424,16.589
10,136,139,0.889208,17.6918
10,136,140,0.964744,20.1648
10,136,141,0.981095,14.5522
10,136,142,0.985664,26.5217
10,136,143,0.99805,11.5032
10,136,144,0.971968,18.955
10,136,145,0.717171,62.0671
10,136,146,0.983195,29.7453
10,136,147,0.941126,47.2462
11,148,149,0.99472,6.9341
11,148,150,0.999775,3.70611
11,148,151,0.992416,15.7882
11,148,152,0.945787,32.3074
11,148,153,0.944691,38.21
11,148,154,0.880763,32.9558
11,148,155,0.997504,14.5981
11,148,156,0.428172,49.8595
11,148,157,0.707291,71.2041
11,148,158,0.822671,27.0314
11,148,159,0.494123,76.1439
11,148,160,0.89382,55.8846
11,148,161,0.962382,53.2151
11,148,162,0.706535,115.064
11,148,163,0.801474,80.9733
11,148,164,0.429484,75.4419
11,148,165,0.720054,115.102
11,148,166,0.895561,43.3768
11,148,167,0.888248,64.937
11,148,168,0.457763,72.1807
11,148,169,0.630627,122.583
12,170,171,0.999421,4.40825
12,170,172,0.563636,47.9065
12,170,173,0.849803,67.3627
12,170,174,0.97243,16.9153
12,170,175,0.995643,12.269
12,170,176,0.995166,8.8731
12,170,177,0.978929,29.9242
12,170,178,0.997661,5.55208
12,170,179,0.991125,15.7827
12,170,180,0.983796,11.3767
12,170,181,0.999725,5.18832
12,170,182,0.999018,7.87373
12,170,183,0.98828,18.808
12,170,184,0.997772,12.9736
12,170,185,0.997726,21.4187
12,170,186,0.955694,54.5694
