basin_key,reference_source_key,test_source_key,MLE,RMSE
0,0,1,0.996908,12.1428
0,0,2,1,0
0,0,3,1,0
0,0,4,0.61977,129.092
0,0,5,1,0
0,0,6,1,0
0,0,7,0.456378,138.268
1,8,9,0.999842,2.7348
1,8,10,0.999632,3.11392
1,8,11,0.984873,13.9584
1,8,12,0.997593,18.3306
1,8,13,0.999874,3.09345
1,8,14,0.977569,19.0672
1,8,15,0.854341,51.5205
2,16,17,0.999768,3.32483
2,16,18,0.992796,10.299
2,16,19,0.996327,9.3369
2,16,20,0.988754,21.3582
2,16,21,0.993753,9.03718
2,16,22,0.98005,17.3881
2,16,23,0.439911,46.9456
2,16,24,0.34284,62.6816
2,16,25,0.941377,122.832
2,16,26,0.944161,66.102
2,16,27,0.973472,73.2782
2,16,28,0.385736,107.151
2,16,29,0.907372,34.4218
2,16,30,0.501778,62.7909
2,16,31,0.995975,12.3491
3,32,33,0.0489324,87.4161
3,32,34,0.182086,96.7901
3,32,35,0.141779,176.937
3,32,36,0.807943,41.5477
3,32,37,0.871539,75.8464
3,32,38,0.985852,30.7968
3,32,39,0.98288,29.6051
3,32,40,0.962102,27.6052
3,32,41,0.956188,23.45
3,32,42,0.727334,47.4249
3,32,43,0.959003,76.8512
4,44,45,0.994648,14.4761
4,44,46,0.916565,26.0504
4,44,47,0.198434,70.0594
4,44,48,1,0
4,44,49,1,0
4,44,50,0.985679,25.0947
4,44,51,1,0
4,44,52,5.02478e-07,549.017
4,44,53,0.000144003,288.939
4,44,54,4.70943e-05,311.403
4,44,55,1.50655e-05,380.63
4,44,56,0.509403,133.751
4,44,57,1.14129e-09,301.363
4,44,58,0.134561,286.456
5,59,60,0.977416,14.835
5,59,61,0.992899,6.43702
5,59,62,0.99504,8.17655
5,59,63,0.998308,7.93615
5,59,64,0.784761,33.6394
5,59,65,0.765635,38.8356
5,59,66,0.879009,54.8668
5,59,67,0.969523,43.4451
5,59,68,0.948653,28.2015
5,59,69,0.903782,30.8983
5,59,70,0.987964,21.0602
5,59,71,0.364471,56.2154
5,59,72,0.515312,108.458
5,59,73,0.882256,108.975
6,74,75,0.999235,5.16652
6,74,76,0.971872,18.4291
6,74,77,0.968106,25.716
6,74,78,1,0
6,74,79,0.815343,59.2307
6,74,80,0.952593,53.7356
6,74,81,0.165201,112.949
6,74,82,1,0
6,74,83,0.686642,77.05
6,74,84,0.993697,23.5136
6,74,85,0.224735,88.052
6,74,86,0.497032,152.338
6,74,87,0.996764,20.5594
7,88,89,0.92175,18.8133
7,88,90,0.999619,2.67014
7,88,91,0.994063,8.50321
7,88,92,0.997309,21.021
7,88,93,0.996289,5.28363
7,88,94,0.999545,10.3348
7,88,95,0.997817,11.86
7,88,96,0.999781,5.96349
7,88,97,0.997912,22.2695
7,88,98,0.997871,7.89236
7,88,99,0.868146,31.4536
7,88,100,0.980428,56.9029
8,101,102,1,0
8,101,103,1,0
8,101,104,0.971892,17.8483
8,101,105,0.985131,8.94222
8,101,106,0.99894,9.65889
8,101,107,0.975205,12.6862
8,101,108,0.938898,22.542
8,101,109,0.977439,25.8209
8,101,110,0.992733,10.21
8,101,111,0.980886,19.8057
8,101,112,0.995838,13.2339
8,101,113,0.417856,59.3029
8,101,114,0.986844,14.2016
8,101,115,0.985484,30.8859
8,101,116,0.941272,31.282
8,101,117,0.955839,26.575
9,118,119,0.983041,12.5434
9,118,120,0.938585,8.32271
9,118,121,0.826195,36.5137
9,118,122,0.935832,33.8861
9,118,123,0.999324,8.22879
9,118,124,0.996645,10.912
9,118,125,0.873276,45.1883
9,118,126,0.997321,7.27706
9,118,127,0.961987,31.303
9,118,128,0.931557,20.3469
9,118,129,0.978786,16.7641
9,118,130,0.994929,13.5182
9,118,131,0.740411,40.1424
9,118,132,0.992167,22.2861
9,118,133,0.971303,34.8662
9,118,134,0.886576,42.9171
9,118,135,0.849809,49.1864
10,136,137,0.995297,5.16162
10,136,138,0.970773,16.051
10,136,139,0.88407,18.3626
10,136,140,0.970406,18.4695
10,136,141,0.985548,13.3046
10,136,142,0.988842,23.4157
10,136,143,0.998727,9.30829
10,136,144,0.983556,15.9408
10,136,145,0.834767,46.0526
10,136,146,0.994259,17.2205
10,136,147,0.988122,21.5936
11,148,149,0.995476,6.35173
11,148,150,0.999836,3.11328
11,148,151,0.995617,11.6266
11,148,152,0.966124,25.604
11,148,153,0.963937,30.7874
11,148,154,0.924283,26.4759
11,148,155,0.998858,10.0103
11,148,156,0.612683,37.8568
11,148,157,0.822774,52.2951
11,148,158,0.915471,18.0245
11,148,159,0.659399,57.3489
11,148,160,0.951638,36.9687
11,148,161,0.98455,33.7825
11,148,162,0.814641,88.1962
11,148,163,0.906428,53.4713
11,148,164,0.62959,51.9756
11,148,165,0.843975,82.2011
11,148,166,0.975242,20.4018
11,148,167,0.963918,35.6256
11,148,168,0.746156,41.8361
11,148,169,0.841199,73.8269
12,170,171,0.999391,4.57759
12,170,172,0.566086,47.4973
12,170,173,0.849213,67.3578
12,170,174,0.9612,20.9263
12,170,175,0.997532,9.13547
12,170,176,0.993557,11.3453
12,170,177,0.966807,37.4617
12,170,178,0.990722,9.79825
12,170,179,0.998724,5.72702
12,170,180,0.955227,18.4835
12,170,181,0.999291,9.8605
12,170,182,0.999829,3.26288
12,170,183,0.997206,8.6259
12,170,184,0.999796,3.65996
12,170,185,0.998815,14.2556
12,170,186,0.985551,29.3823
