basin_key,reference_source_key,test_source_key,MLE,RMSE
0,0,1,0.99698,11.9847
0,0,2,1,0
0,0,3,1,0
0,0,4,0.596856,133.847
0,0,5,1,0
0,0,6,1,0
0,0,7,0.592455,113.78
1,8,9,0.999814,2.9866
1,8,10,0.999407,4.11362
1,8,11,0.991896,10.2182
1,8,12,0.999101,11.1837
1,8,13,0.999693,5.41175
1,8,14,0.994595,9.06856
1,8,15,0.967954,22.0382
2,16,17,0.999832,2.92647
2,16,18,0.993941,9.3977
2,16,19,0.9972,7.99157
2,16,20,0.990032,20.1015
2,16,21,0.995995,7.602
2,16,22,0.995349,7.87301
2,16,23,0.668474,32.8333
2,16,24,0.51393,49.0765
2,16,25,0.962053,98.223
2,16,26,0.977717,39.9999
2,16,27,0.986234,52.1725
2,16,28,0.677558,68.3093
2,16,29,0.964069,21.7639
2,16,30,0.744877,40.1434
2,16,31,0.999578,3.86864
3,32,33,0.0651981,82.7221
3,32,34,0.482475,64.6688
3,32,35,0.203305,160.949
3,32,36,0.936085,23.765
3,32,37,0.96045,40.8531
3,32,38,0.99255,21.9362
3,32,39,0.99253,19.5199
3,32,40,0.919347,39.7491
3,32,41,0.949826,23.1463
3,32,42,0.722635,52.4909
3,32,43,0.91425,112.901
4,44,45,0.994511,14.668
4,44,46,0.886147,33.091
4,44,47,0.252011,63.7618
4,44,48,1,0
4,44,49,1,0
4,44,50,0.992136,18.7032
4,44,51,1,0
4,44,52,1.20974e-05,484.996
4,44,53,0.0076476,208.979
4,44,54,0.00156443,252.624
4,44,55,0.000726504,304.931
4,44,56,0.715844,93.5985
4,44,57,5.22967e-06,224.078
4,44,58,0.386786,198.172
5,59,60,0.991132,9.34003
5,59,61,0.983019,9.86781
5,59,62,0.997703,4.57508
5,59,63,0.993182,16.1448
5,59,64,0.870305,25.6008
5,59,65,0.875108,27.4843
5,59,66,0.928313,41.831
5,59,67,0.983769,31.7723
5,59,68,0.979167,17.9294
5,59,69,0.976701,14.9685
5,59,70,0.996409,10.8558
5,59,71,0.615445,37.5473
5,59,72,0.700897,78.8078
5,59,73,0.938117,77.8391
6,74,75,0.998862,6.29858
6,74,76,0.987284,11.8617
6,74,77,0.990986,13.5855
6,74,78,0.546473,70.1642
6,74,79,0.911756,38.7936
6,74,80,0.977567,35.23
6,74,81,0.459113,71.407
6,74,82,0.681787,32.9402
6,74,83,0.856718,47.8951
6,74,84,0.997785,13.9941
6,74,85,0.538411,55.1105
6,74,86,0.809752,80.0199
6,74,87,0.999835,4.17367
7,88,89,0.929421,17.8012
7,88,90,0.999583,3.0427
7,88,91,0.995112,7.56471
7,88,92,0.997463,20.3896
7,88,93,0.993154,8.5082
7,88,94,0.999729,7.96759
7,88,95,0.99726,13.7803
7,88,96,0.999752,6.5136
7,88,97,0.998561,18.4677
7,88,98,0.995505,12.724
7,88,99,0.969558,14.0173
7,88,100,0.997991,18.0067
8,101,102,1,0
8,101,103,1,0
8,101,104,0.98624,12.2132
8,101,105,0.985259,8.45303
8,101,106,0.998165,11.8689
8,101,107,0.994878,5.54256
8,101,108,0.877388,34.8484
8,101,109,0.955691,36.2201
8,101,110,0.991947,13.3447
8,101,111,0.96041,32.6666
8,101,112,0.990785,21.1829
8,101,113,0.671965,39.317
8,101,114,0.993281,9.62436
8,101,115,0.991703,22.8279
8,101,116,0.978177,16.7815
8,101,117,0.993493,9.03996
9,118,119,0.972026,16.6655
9,118,120,0.900052,10.6494
9,118,121,0.857796,33.818
9,118,122,0.96047,26.4941
9,118,123,0.999064,10.7783
9,118,124,0.99377,14.9676
9,118,125,0.931279,33.052
9,118,126,0.997062,7.54979
9,118,127,0.971477,27.4329
9,118,128,0.974122,8.91867
9,118,129,0.986041,12.5986
9,118,130,0.99788,9.04693
9,118,131,0.920073,20.6927
9,118,132,0.995583,13.7227
9,118,133,0.983111,25.4358
9,118,134,0.946748,27.8417
9,118,135,0.948134,26.7186
10,136,137,0.993342,5.80584
10,136,138,0.971676,15.6418
10,136,139,0.877717,19.1269
10,136,140,0.976595,16.4819
10,136,141,0.989634,11.8154
10,136,142,0.992188,19.4762
10,136,143,0.999254,7.19386
10,136,144,0.986862,14.5961
10,136,145,0.929023,29.6025
10,136,146,0.993671,16.324
10,136,147,0.998757,5.51208
11,148,149,0.995406,6.14256
11,148,150,0.999867,2.71536
11,148,151,0.997747,7.97189
11,148,152,0.981977,18.8231
11,148,153,0.979813,23.0093
11,148,154,0.949773,20.9992
11,148,155,0.999456,7.62738
11,148,156,0.809274,24.5394
11,148,157,0.917826,33.8715
11,148,158,0.946082,13.3904
11,148,159,0.833246,37.5163
11,148,160,0.993503,12.1933
11,148,161,0.999134,7.47583
11,148,162,0.918213,56.4508
11,148,163,0.982048,22.6926
11,148,164,0.843051,28.5398
11,148,165,0.953175,42.3854
11,148,166,0.987154,14.9135
11,148,167,0.99662,8.30328
11,148,168,0.958132,16.3545
11,148,169,0.978444,24.5344
12,170,171,0.999362,4.7617
12,170,172,0.569416,47.007
12,170,173,0.848947,67.2598
12,170,174,0.947068,25.0531
12,170,175,0.998643,6.42306
12,170,176,0.990098,16.2142
12,170,177,0.952698,44.4679
12,170,178,0.969979,19.4361
12,170,179,0.991587,11.7366
12,170,180,0.898396,30.2129
12,170,181,0.996904,22.4842
12,170,182,0.998959,8.69023
12,170,183,0.983496,18.0464
12,170,184,0.997295,15.3519
12,170,185,0.999085,10.9881
12,170,186,0.997024,11.2467
